id,neighbourhood_group,neighbourhood,room_type,minimum_nights,price,availability_365,latitude,longitude
2595,Manhattan,Midtown,Entire home/apt,30,240.0,365,40.75356,-73.98559
5136,Brooklyn,Sunset Park,Entire home/apt,30,216.0,37,40.66265,-73.99454
6848,Brooklyn,Williamsburg,Entire home/apt,30,96.0,182,40.70935,-73.95342
6872,Manhattan,East Harlem,Private room,30,59.0,83,40.80107,-73.94255
6990,Manhattan,East Harlem,Private room,30,59.0,209,40.78778,-73.94759
7097,Brooklyn,Fort Greene,Private room,2,195.0,29,40.69194,-73.97389
7801,Brooklyn,Williamsburg,Entire home/apt,30,290.0,0,40.71880722045898,-73.9561767578125
8490,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,170.0,191,40.68455584344908,-73.93963415175676
10452,Brooklyn,Bedford-Stuyvesant,Private room,30,90.0,182,40.68294,-73.95682
12192,Manhattan,East Village,Private room,30,68.0,94,40.72296,-73.98383
12940,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,150.0,159,40.67946,-73.95417
14314,Brooklyn,Greenpoint,Entire home/apt,30,115.0,151,40.73535,-73.95584
15341,Manhattan,Lower East Side,Entire home/apt,30,190.0,65,40.721359,-73.993668
15385,Brooklyn,Williamsburg,Private room,30,98.0,243,40.71211,-73.96397
16580,Manhattan,East Village,Private room,1,179.0,113,40.72372723229208,-73.97625850509617
16821,Manhattan,East Village,Private room,1,196.0,16,40.72281,-73.98501
16974,Manhattan,East Harlem,Entire home/apt,30,300.0,118,40.8019,-73.93762
17037,Manhattan,East Village,Entire home/apt,30,230.0,129,40.72289,-73.98028
18152,Manhattan,Upper East Side,Private room,30,500.0,297,40.76967,-73.94831
18728,Manhattan,Chelsea,Private room,30,183.0,268,40.74261,-74.00353
19174,Manhattan,West Village,Entire home/apt,90,200.0,343,40.73917,-74.00207
19282,Brooklyn,Flatbush,Private room,30,94.0,44,40.65437,-73.96278
21794,Manhattan,Chelsea,Private room,30,105.0,364,40.74187,-74.00223
23135,Brooklyn,Carroll Gardens,Private room,30,150.0,365,40.67747,-74.00146
23545,Manhattan,Harlem,Entire home/apt,30,200.0,334,40.82825,-73.95138
24285,Brooklyn,Park Slope,Entire home/apt,30,200.0,334,40.67115,-73.98026
26785,Brooklyn,South Slope,Entire home/apt,30,81.0,143,40.6686,-73.98723
27883,Manhattan,East Village,Entire home/apt,30,100.0,0,40.72421,-73.98509
29013,Brooklyn,Bedford-Stuyvesant,Private room,30,90.0,120,40.68288,-73.95646
29628,Brooklyn,Clinton Hill,Private room,3,150.0,130,40.68292,-73.96381
31994,Brooklyn,Clinton Hill,Private room,2,125.0,241,40.68818,-73.96383
33009,Brooklyn,Williamsburg,Entire home/apt,30,195.0,191,40.71512,-73.95899
36121,Brooklyn,Prospect Heights,Private room,90,200.0,362,40.67376,-73.96611
38663,Brooklyn,Boerum Hill,Private room,3,771.0,338,40.68442,-73.98068
38833,Manhattan,Harlem,Entire home/apt,2,231.0,115,40.8180576,-73.9466707
39282,Brooklyn,Williamsburg,Private room,4,137.0,58,40.71065139770508,-73.95087432861328
39572,Manhattan,Hell's Kitchen,Private room,30,139.0,365,40.76203,-73.98869
39593,Queens,Sunnyside,Private room,31,78.0,267,40.74523,-73.92318
42300,Manhattan,Lower East Side,Entire home/apt,30,563.0,205,40.71992,-73.99167
42729,Brooklyn,Carroll Gardens,Private room,30,185.0,364,40.67813,-74.00062
43105,Manhattan,Midtown,Entire home/apt,30,165.0,364,40.7449,-73.98499
44229,Brooklyn,Fort Greene,Private room,30,110.0,365,40.69287,-73.97108
44973,Brooklyn,Williamsburg,Entire home/apt,30,77.0,148,40.70894,-73.95234
112435,Brooklyn,Fort Greene,Private room,30,95.0,365,40.69132,-73.97306
113265,Brooklyn,Crown Heights,Private room,30,60.0,287,40.67582,-73.9518
115535,Manhattan,Harlem,Private room,30,57.0,210,40.82402,-73.95263
115748,Queens,Astoria,Entire home/apt,30,110.0,88,40.76406,-73.92266
116551,Manhattan,Harlem,Entire home/apt,30,92.0,157,40.80384,-73.95123
118061,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,93.0,195,40.68462,-73.92895
128975,Manhattan,Harlem,Entire home/apt,30,83.0,113,40.81127,-73.94561
135465,Brooklyn,Fort Greene,Entire home/apt,30,188.0,222,40.68646,-73.97548
136493,Brooklyn,Park Slope,Private room,2,336.0,55,40.67497,-73.97796
141335,Brooklyn,Park Slope,Private room,30,855.0,365,40.67487,-73.97637
144087,Manhattan,Harlem,Entire home/apt,30,259.0,365,40.80687,-73.95333
146726,Manhattan,Harlem,Entire home/apt,30,175.0,358,40.80392,-73.94765
148259,Brooklyn,Williamsburg,Entire home/apt,30,290.0,305,40.71345,-73.94289
148825,Manhattan,Upper West Side,Entire home/apt,30,120.0,260,40.79999,-73.96338
150804,Manhattan,Lower East Side,Private room,4,513.0,233,40.7203,-73.98424
151199,Queens,Astoria,Private room,2,225.0,334,40.7573,-73.91488
152263,Manhattan,Harlem,Private room,3,282.0,346,40.80493,-73.94999
157673,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,63.0,320,40.68096,-73.94062
158061,Brooklyn,Bedford-Stuyvesant,Private room,30,162.0,365,40.68511,-73.91927
162493,Brooklyn,Williamsburg,Private room,31,499.0,324,40.71174,-73.95798
166006,Manhattan,Upper West Side,Entire home/apt,31,310.0,228,40.79864,-73.96209
168123,Brooklyn,Windsor Terrace,Entire home/apt,30,175.0,179,40.65891,-73.98556
169483,Brooklyn,Gravesend,Entire home/apt,30,231.0,243,40.60602,-73.97076
45910,Queens,Ridgewood,Entire home/apt,30,425.0,365,40.70309,-73.89963
45935,Bronx,Mott Haven,Private room,30,60.0,83,40.80635,-73.92201
45936,Manhattan,Morningside Heights,Private room,31,68.0,198,40.8063,-73.95985
46911,Brooklyn,Park Slope,Private room,30,85.0,211,40.68009896425498,-73.9746189673198
49048,Brooklyn,Bedford-Stuyvesant,Private room,30,95.0,254,40.6829,-73.95701
52689,Queens,Ditmars Steinway,Private room,3,170.0,46,40.77868,-73.90652
53469,Queens,Middle Village,Entire home/apt,30,117.0,365,40.71567,-73.87842
53470,Queens,Ridgewood,Entire home/apt,30,223.0,365,40.70422,-73.89778
53477,Queens,Middle Village,Entire home/apt,30,298.0,365,40.71778,-73.87714
54466,Manhattan,Harlem,Private room,30,172.0,365,40.80255,-73.95803
54508,Brooklyn,Park Slope,Private room,3,92.0,216,40.6789595110935,-73.97409474641334
54860,Manhattan,East Harlem,Private room,30,125.0,332,40.79934,-73.94236
55959,Brooklyn,Williamsburg,Private room,4,142.0,61,40.71065,-73.95087
57166,Queens,Ditmars Steinway,Entire home/apt,30,99.0,301,40.772472,-73.906075
57874,Manhattan,East Harlem,Entire home/apt,30,116.0,244,40.80747,-73.94076
58059,Manhattan,Harlem,Private room,30,60.0,92,40.8238,-73.94444
59014,Manhattan,Lower East Side,Entire home/apt,30,150.0,181,40.71946,-73.98641
59121,Queens,Ridgewood,Entire home/apt,30,223.0,365,40.70271,-73.8993
60611,Manhattan,East Harlem,Entire home/apt,30,125.0,174,40.792667388916016,-73.946533203125
60666,Manhattan,Harlem,Private room,30,60.0,59,40.81006,-73.94559
60680,Manhattan,East Village,Entire home/apt,30,150.0,357,40.72598,-73.97978
61406,Manhattan,Harlem,Private room,60,65.0,179,40.80371,-73.95635
62925,Brooklyn,Greenpoint,Entire home/apt,30,285.0,51,40.72967,-73.95352
63588,Bronx,Clason Point,Private room,30,90.0,0,40.81161,-73.85499
63610,Bronx,Eastchester,Private room,30,120.0,358,40.881,-73.83511
64314,Brooklyn,Crown Heights,Private room,30,71.0,63,40.67634,-73.95143
64365,Brooklyn,Crown Heights,Private room,30,57.0,329,40.67579,-73.95072
66251,Manhattan,East Village,Entire home/apt,30,415.0,97,40.72547,-73.98619
66275,Manhattan,Nolita,Entire home/apt,30,199.0,295,40.72036,-73.99435
66974,Brooklyn,Gowanus,Entire home/apt,30,209.0,274,40.68088,-73.99102
67299,Brooklyn,Williamsburg,Entire home/apt,30,207.0,32,40.71516,-73.96448
68735,Manhattan,Upper West Side,Entire home/apt,30,189.0,170,40.78846,-73.97459
68974,Manhattan,Nolita,Entire home/apt,30,657.0,307,40.72,-73.99487
69894,Manhattan,Upper West Side,Entire home/apt,30,128.0,102,40.77845,-73.98295
75635,Manhattan,Chinatown,Entire home/apt,30,120.0,269,40.71624,-73.994
75658,Brooklyn,Bedford-Stuyvesant,Private room,30,221.0,364,40.695588790857855,-73.95461923691613
77765,Brooklyn,Greenpoint,Hotel room,1,238.0,112,40.73777,-73.95366
79067,Brooklyn,Clinton Hill,Entire home/apt,48,380.0,65,40.68337,-73.96253
80493,Manhattan,East Village,Private room,30,76.0,365,40.7226132,-73.9854593
80700,Brooklyn,Greenpoint,Private room,1,428.0,214,40.73777,-73.95366
81739,Brooklyn,Greenpoint,Private room,1,428.0,214,40.73777,-73.95366
82638,Manhattan,East Village,Entire home/apt,30,182.0,362,40.72408,-73.98154
82928,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,165.0,301,40.68433,-73.94469
83243,Brooklyn,Bushwick,Entire home/apt,30,56.0,231,40.68769,-73.91788
83474,Brooklyn,Downtown Brooklyn,Private room,30,166.0,365,40.69132,-73.98573
84010,Brooklyn,Greenpoint,Hotel room,1,238.0,116,40.73777,-73.95366
89427,Brooklyn,Clinton Hill,Entire home/apt,30,800.0,358,40.68513,-73.96648
92242,Manhattan,Lower East Side,Entire home/apt,30,386.0,179,40.71974,-73.98393
93313,Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,165.0,199,40.684569430603325,-73.93840021354636
